id,title,poster,year,description,genre,rating,users_rating,votes,languages,directors,actors,runtime,rating_float,rating_float_scaled,users_rating_scaled,votes_scaled,runtime_scaled,genre_Action_scaled,genre_Adventure_scaled,genre_Animation_scaled,genre_Biography_scaled,genre_Comedy_scaled,genre_Crime_scaled,genre_Drama_scaled,genre_History_scaled,genre_Horror_scaled,genre_Romance_scaled,genre_Thriller_scaled,languages_Dutch_scaled,languages_English_scaled,languages_Indonesian_scaled,languages_Minangkabau_scaled,trailer_url
65,Love for Sale 2,https://m.media-amazon.com/images/M/MV5BYjRhMmU0NjMtYjQ5YS00OThhLTkxMDItN2MxZGUwYWYyNzcyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"Tired of matchmaking by his mother, Ican brings a woman from a dating application and introduces her to Ros. Their family relations are warmed thanks to Arini and Ican starts to like her.",Drama,17+,7,372,Indonesian,Andibachtiar Yusuf,"['Della Dartyan', 'Adipati Dolken', 'Ratna Riantiarno', 'Ariyo Wahab', 'Bastian Steel', 'Putri Ayudya', 'Taskya Namya', 'Gading Marten', 'Egy Fedly', 'Yayu A.W. Unru', 'Abdurrahman Arif', 'Revaldo', 'Roy Marten', 'Rukman Rosadi', 'Dayu Wijanto']",92,17,0.741014979,0.450007247,-0.095411397,-0.485757219,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
66,Lukisan Ratu Kidul,https://m.media-amazon.com/images/M/MV5BZTEyNGFjN2UtMTA0YS00MTI1LWE3NTAtNjg0OTA1MWRmZWZkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"Dimas and Satria Soedibyo actually has many questions when their father died: their grandfather; Rusdi Soedibyo, is a famous painter in the 80s, the death of their mother who was never told...",Horror,17+,6.5,11,Indonesian,Ginanti Rona Tembang Sari,"['Teuku Zacky', 'Ussy Sulistiawaty', 'Wafda Saifan', 'Annisa Aurelia', 'Naomi Paulinda', 'Elsa Diandra', 'Egy Fedly', 'Fuad Idris', 'Wawan Wanisar', 'Fadika Royandi', 'Widian Nanto', 'Febryan Aditya', 'Kevin Zander', nan, nan]",90,17,0.741014979,0.078008659,-0.122090496,-0.622719801,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
67,Mahasiswi Baru,https://m.media-amazon.com/images/M/MV5BY2MzOWQyZjUtM2JiNS00ZmQ0LTlkYTUtMTAzMmVmNGZhMjEwXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"At her old age, Lastri (Widyawati) is eager to go to college. She befriends with other students and they form a gang who often makes fuss on campus and causes chaos.",Comedy,13+,5.9,78,Indonesian,Monty Tiwa,"['Widyawati', 'Morgan Oey', 'Mikha Tambayong', 'Umay Shahab', 'Sonia Alyssa', 'Slamet Rahardjo', 'Karina Suwandhi', 'Iszur Muchtar', 'Ence Bagus', nan, nan, nan, nan, nan, nan]",96,13,-0.064632138,-0.368389646,-0.117138974,-0.211832054,-0.313625024,-0.260248119,-0.061199006,-0.175411604,1.990719207,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
68,Makmum,https://m.media-amazon.com/images/M/MV5BNTlkYTdmMzctZmViYy00MTA0LWE1ZDMtZDc5N2FkOGFmOTFiXkEyXkFqcGc@._V1_QL75_UX105_.jpg,2019,"While in the dormitory, the resident of the dormitory is terrorized by a supernatural creature. There is a kind of supernatural creature called ""Makmum"" (the follower) that follows them during prayer.",Horror,17+,4.3,127,Indonesian,Hadrah Daeng Ratu,"['Titi Kamal', 'Ali Syakieb', 'Tissa Biani Azzahra', 'Adilla Fitri', 'Bianca Hello', 'Jajang C. Noer', 'Reni Yuliana', 'Arief Didu', 'Misha Jeter', nan, nan, nan, nan, nan, nan]",95,17,0.741014979,-1.558785128,-0.113517711,-0.280313345,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
69,Mantan Manten,https://m.media-amazon.com/images/M/MV5BNDIxODUyNmQtYWU5Ni00NjU0LWI1OTgtY2Q1MTg5NjIwMzVhXkEyXkFqcGc@._V1_QL75_UX124.5_.jpg,2019,"A wealthy woman is betrayed and all her wealth is gone. Her marriage plan is also in danger. But, she still has a villa as her only hope. To take the villa back, she had to become an assistant to a traditional bride shaman.",Drama,13+,7.1,121,Indonesian,Farishad I. Latjuba,"['Atiqah Hasiholan', 'Arifin Putra', 'Tutie Kirana', 'Tio Pakusadewo', 'Marthino Lio', 'Oxcerila Paryana', 'Dodit Mulyanto', 'Ria Irawan', 'Arswendi Nasution', 'Jenny Chang', 'Aimee Saras', 'Asri Welas', 'Ivanka Suwandi', nan, nan]",102,13,-0.064632138,0.524406965,-0.113961131,0.199055694,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
70,Mata Batin 2,https://m.media-amazon.com/images/M/MV5BMTZkYzc4NGUtYmE1Ni00ZGE0LTlkODktMTgyYWZjYTA0MDRkXkEyXkFqcGc@._V1_QL75_UX249_.jpg,2019,"Alia is now working and living at an orphanage, where she meets a girl who also possesses inner eyes like her.",Drama,17+,5.5,385,Indonesian,Rocky Soraya,"['Jessica Mila', 'Nabilah Ratna Ayu Azalia', 'Sophia Latjuba', 'Jeremy Thomas', 'Bianca Hello', 'Citra Prima', 'Jelita Callebaut', 'Hadijah Shahab', 'Nicole Rossi', 'Yasmine Mahya', 'Davina Karamoy', nan, nan, nan, nan]",116,17,0.741014979,-0.665988517,-0.094450653,1.157793771,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
71,MatiAnak,https://m.media-amazon.com/images/M/MV5BNmExM2VjMDEtMzFlMC00OWM4LTkwMmUtNjBhMmIxYTkyOGY0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"Since a new kid arrives at an orphanage, weird things started to happen.",Horror,17+,6.9,57,Indonesian,Derby Romero,"['Cinta Laura Kiehl', 'Jovarel Callum', 'Irsyadillah', 'Fatih Unru', 'Basmalah Gralind', 'Juliant Rafael', 'Gesata Stella', 'Yayu A.W. Unru', 'Elsa Diandra', 'Chico Radella', 'M. Rafli', 'Arswendi Nasution', nan, nan, nan]",85,17,0.741014979,0.37560753,-0.118690943,-0.965126258,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
72,Matt & Mou,https://m.media-amazon.com/images/M/MV5BZWI1ODkwMzItYWI0Ny00NGJjLTlmZTMtYjE5ZjMxNGExOGYzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,A seemingly platonic friendship gets tested when a high school teen wants her closest friend to endorse her new romance with a local musician.,Comedy,13+,7.5,49,Indonesian,Monty Tiwa,"['Prilly Latuconsina', 'Maxime Bouttier', 'Kevin Bzezovski', 'Raya Adena Syah', 'Irsyadillah', 'Marthino Lio', 'Josephine Firmstone', 'Kelsea Dressler', 'Joshua Suherman', 'Karina Suwandhi', 'Santana Sartana', 'Unique Priscilla', 'Dicky Wahyudi', 'Reni Yuliana', 'Cinta Brian']",96,13,-0.064632138,0.822005835,-0.11928217,-0.211832054,-0.313625024,-0.260248119,-0.061199006,-0.175411604,1.990719207,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
73,Mekah I'm Coming,https://m.media-amazon.com/images/M/MV5BYTdhNTMzMDAtMmY3OC00NzU4LTg4ZmMtYzlkZWJjZTZiMzQ2XkEyXkFqcGc@._V1_QL75_UX384_.jpg,2019,Eddy tries to prove to Eni's father that he's worth it to be Eni's husband by going hajj to Mecca. But something along the way makes the journey has its obstacles.,Comedy,13+,7.3,35,Indonesian,Jeihan Angga,"['Rizky Nazar', 'Michelle Ziudith', 'Jennifer Coppen', 'Ephy Pae', 'Ria Irawan', 'Totos Rasiti', 'Dwi Sasono', 'Rasyid Karim', 'Yusril Fahriza', 'Fanny Fadillah', 'Cici Tegal', 'Ananta Rispo', 'Yati Pesek', 'Eli Sugigi', 'Jidate Ahmad']",93,13,-0.064632138,0.6732064,-0.120316817,-0.417275928,-0.313625024,-0.260248119,-0.061199006,-0.175411604,1.990719207,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
74,MeloDylan,https://m.media-amazon.com/images/M/MV5BYTRkOGQ5MTItZTNmMS00MTQ2LTkwZTktYjFhMmM0YWNkMTg2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"Melody moves to another school because of avoiding problems, moreover she has a bad past with David, her ex-lover. But in the new school, the problem re-emerges when Melody meets Dylan, a ...",Drama,13+,7,28,Indonesian,Fajar Nugros,"['Devano Danendra', 'Aisyah Aqilah', 'Angga Yunanda', 'Zoe Abbas Jackson', 'Yasmin Napper', 'Naomi Paulinda', 'Bryan Andrew', 'Indra Jegel', 'Alzi Markers', 'Naima Al Jufri', 'Pangeran Lantang', 'Jordy Rizkyanda', 'Roweina Umboh', 'Yeyen Lydia', 'Dominique Sanda']",92,13,-0.064632138,0.450007247,-0.12083414,-0.485757219,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
75,Mendadak Kaya,https://m.media-amazon.com/images/M/MV5BNTg0MTcwODgtYWQzYS00ZGZiLWExZTEtZmU1Y2U2NGYyZjM2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"Ali Oncom is pursued by a debt collector. At the same time he is also under pressure from his girlfriend, Yuli, who wants to be married soon. Otoy is threatened to be divorced by his wife ...",Comedy,13+,6.1,22,Indonesian,Anggy Umbara,"['Fedi Nuril', 'Dwi Sasono', 'Pandji Pragiwaksono', 'Nirina Zubir', 'Jihane Almira', 'Ence Bagus', 'Opie Kumis', 'Muzakki Ramdhan', 'Rasyid Albuqhary', 'Sonni Mahmuda', 'Arief Didu', 'Lolox', 'Fico Fachriza', 'Bisma Karisma', 'Aden Bajaj']",92,13,-0.064632138,-0.219590211,-0.12127756,-0.485757219,-0.313625024,-0.260248119,-0.061199006,-0.175411604,1.990719207,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
76,My Stupid Boss 2,https://m.media-amazon.com/images/M/MV5BNWVjMTRmZWEtNGUxNS00MzU4LTgyY2EtOTM3YmMyNGViZmNhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"Bossman and his employees goes to Vietnam to find new workers for his company, but instead of getting new workers they got a lot of new troubles.",Adventure,13+,6.6,305,Indonesian,Upi Avianto,"['Reza Rahadian', 'Bunga Citra Lestari', 'Kin Wah Chew', 'Atikah Suhaime', 'Iedil Dzuhrie Alaudin', 'Iskandar Zulkarnaen', 'Alex Abbad', 'Melissa Karim', 'Morgan Oey', 'Verdi Solaiman', 'Sahil Shah', 'Prakash Krisna', 'Indra Jegel', 'Awek Sitepu', 'Gregory Prabowo']",96,13,-0.064632138,0.152408377,-0.100362919,-0.211832054,-0.313625024,3.84248694,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
77,Nightmare Side: Delusional,https://m.media-amazon.com/images/M/MV5BODJjNThhYWQtYzgyOS00NjAxLWFkZTMtNjc1MWU5MTk1MzYzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"A young student that always following the Nightmare Side radio broadcast and always being her nightmare, as if its were real.",Horror,13+,5,5,Indonesian,Joel Fadly,"['Gege Elisa', 'Fay Nabila Rizka', 'Melissa Karim', 'Ajil Ditto', 'Elina Joerg', 'Mo Sidik', 'Bayu Oktara', 'Dimas Tri Adityo', 'Indi Arisa', 'Anyun Cadel', 'Elina', 'Reza Emir', 'Gita Puspita Garini', 'Guntur', 'Peter Harianja']",100,13,-0.064632138,-1.037987105,-0.122533916,0.062093111,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
78,Orang Kaya Baru,https://m.media-amazon.com/images/M/MV5BYWE4OTkzYzktNGI3ZS00MmEzLThkMzEtOTg3NTNiYWMzZmZkXkEyXkFqcGc@._V1_QL75_UX229.5_.jpg,2019,"A life of a ordinary family consists of father (Lukman Sardi), mother (Cut Mini) and three children Duta (Derby Romero), Tika (Raline Shah) and Dodi (Fatih Unru) suddenly changed when the father died and left a legacy a lot of wealth.",Comedy,13+,6.4,431,Indonesian,Ody C. Harahap,"['Cut Mini Theo', 'Lukman Sardi', 'Raline Shah', 'Derby Romero', 'Fatih Unru', 'Refal Hady', 'Millane Fernandez', 'Melayu Nicole', 'Jasmine Kusuma Carroll', 'Arvitta Ludya', 'Verdi Solaiman', 'Sylvia Genpati', 'T.M. Tarsan', 'Reza Nangin', 'Ikram Kribo']",96,13,-0.064632138,0.003608942,-0.0910511,-0.211832054,-0.313625024,-0.260248119,-0.061199006,-0.175411604,1.990719207,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
79,PSP: Gaya Mahasiswa,https://m.media-amazon.com/images/M/MV5BNzhmYzQ1OGItOGExZC00ZWNiLWFkY2EtNTMzZmU5OWUwM2E1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"Monos, Rojali, Ade, Andra, Adit, Dindin, James, and Omen are students who are crazy, ignorant, but cool in music and are members of the OM Pancaran Sinar Petromaks (PSP).",Comedy,13+,5.5,24,Indonesian,Hilman Mutasi,"['Uus', 'Adjis Doaibu', 'David Schaap', 'Dhimas Danang', 'Imam Darto', 'Abdur Arsyad', 'Boris Bokir', 'Wira Nagara', 'Aura Kasih', 'Dodit Mulyanto', 'Ence Bagus', 'Ruth Permatasari', 'Rebecca Tamara', 'Elma Agustine', 'Veronica']",96,13,-0.064632138,-0.665988517,-0.121129753,-0.211832054,-0.313625024,-0.260248119,-0.061199006,-0.175411604,1.990719207,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
80,Pariban: Idola dari Tanah Jawa,https://m.media-amazon.com/images/M/MV5BODhjM2JhMjQtNjI5NS00M2YxLTljMWYtODNhZWU4MjcxMDAyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,Moan is a Batak young man who has lived in Jakarta for a long time and he doesn't have a girlfriend yet. This situation makes his mother who lives in Samosir forces him to go back and told him to marries his cousin.,Comedy,13+,7.2,36,Indonesian,Andibachtiar Yusuf,"['Atiqah Hasiholan', 'Ganindra Bimo', 'Rizky Mocil', 'Dayu Wijanto', 'Rukman Rosadi', 'Mak Gondut', 'Joe Project P.', 'Djaitov Tigor', 'Imelda Budiman', 'Surya Insomnia', 'Christabelle Grace Marbun', 'Maria Vania', 'McDanny', nan, nan]",101,13,-0.064632138,0.598806682,-0.120242913,0.130574402,-0.313625024,-0.260248119,-0.061199006,-0.175411604,1.990719207,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
81,Perjanjian dengan Iblis,https://m.media-amazon.com/images/M/MV5BODU3NDIzMjQtMjE2Mi00NzI0LTkyODYtYWQ2NjVjNzRhZDhjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"Annisa married Bara, a widower with a daughter named Lara. Bara takes a picnic to the island that is still rarely visited by tourists, Bengalor Island, so that his wife and child could get ...",Horror,17+,5.3,22,Indonesian,Ardy Octaviand,"['Shandy Aulia', 'Artika Sari Devi', 'Aghi Narottama', 'Basmalah Gralind', 'Alex Abbad', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",80,17,0.741014979,-0.814787952,-0.12127756,-1.307532714,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
82,Pocong the Origin,https://m.media-amazon.com/images/M/MV5BNmViMTY2MDUtNGY1My00NGNkLWEzZDYtYWRhMzNhODJjOTYxXkEyXkFqcGc@._V1_QL75_UX226.5_.jpg,2019,"Ananta, a cold-blooded killer has been executed by the State. Sasthi, his only daughter, has to deliver her father's body to be buried in his hometown.",Adventure,13+,5.9,84,Indonesian,Monty Tiwa,"['Nadya Arina', 'Samuel Rizal', 'Della Dartyan', 'Surya Saputra', 'Tyo Pakusadewo', 'Reza Nangin', 'Anom Perkasa', 'Chaca Marisa', 'Yeyen Lydia', 'Egy Fedly', 'Yama Carlos', 'Yusril Fahriza', 'Ananta Rispo', 'Izzati Khansa', 'Tegar Satrya']",90,13,-0.064632138,-0.368389646,-0.116695554,-0.622719801,-0.313625024,3.84248694,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
83,Pohon Terkenal,https://m.media-amazon.com/images/M/MV5BZGMxYmViNzEtZTE5NS00M2E4LTk5NjAtN2JiNjZmYmIyNWU0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"As a new cadet at the Police Academy, Semarang, Bara Maulana, Ayu Sekarwati and Johanes Solossa have to say goodbye to normal teenage lives. Their future is no longer their own. Who will ...",Drama,13+,8.1,25,Indonesian,Annisa Meutia Amir,"['Umay Shahab', 'Laura Theux', 'Raim Laode', 'Cok Simbara', 'Adjis Doaibu', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",96,13,-0.064632138,1.268404141,-0.12105585,-0.211832054,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
84,Preman Pensiun,https://m.media-amazon.com/images/M/MV5BNmZmMTNiYzMtOWQ4Ni00OWY4LWIxNTMtYmFhNWUwMWU4YTNlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"After three years, the business of Muslihat, who has retired as a thug, has a problem. He also faces new problems when her daughter grows up and visited by the boys. The friction between his former subordinates also starts to happen again.",Comedy,13+,7,117,Indonesian,Aris Nugraha,"['Epy Kusnandar', 'Tia Arifin', 'Soraya Rasyid', 'Dedi Moch Jamasari', 'Andra Manihot', 'Deny Firdaus', 'Ica Naga', 'Abenk Marco', 'M. Fajar Hidayatullah', 'Purwo Kristiono', 'Mang Uu', 'Sadana Agung Sulistya', 'Sandi Tile', 'Nining Yuningsih', 'Vina Ferina']",94,13,-0.064632138,0.450007247,-0.114256744,-0.348794636,-0.313625024,-0.260248119,-0.061199006,-0.175411604,1.990719207,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
85,Pretty Boys,https://m.media-amazon.com/images/M/MV5BYmI2MWQ0ZDMtMjllZi00MjM0LTk2MzQtMTlhOTY4OGYwZDAxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"Two best friends since childhood aspire to be famous. They run away from home and try their fortune in Jakarta. One day, when they become the paid audiences for a talk show, the audience coordinator offer them a way to their dreams.",Comedy,13+,6.8,373,Indonesian,Tompi,"['Vincent Ryan Rompies', 'Deddy Mahendra Desta', 'Danilla Riyadi', 'Onadio Leonardo', 'Imam Darto', 'Roy Marten', 'Joe Project P.', 'Ferry Maryadi', 'Tora Sudiro', 'Iang Darmawan', 'Roweina Umboh', 'Natasha Rizki', 'Najwa Shihab', 'Aurélie Moeremans', 'Hesti Purwadinata']",100,13,-0.064632138,0.301207812,-0.095337493,0.062093111,-0.313625024,-0.260248119,-0.061199006,-0.175411604,1.990719207,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
86,Ratu Ilmu Hitam,https://m.media-amazon.com/images/M/MV5BMDM3NzViNzMtOTVmOS00MWVlLWFmZGItOTRlZTU0ZWJhMDdmXkEyXkFqcGc@._V1_QL75_UX237_.jpg,2019,"Families were terrorized at the orphanage. Someone wants them dead, apparently with black magic that is very deadly. She has a grudge and she was also born because of the sins of the orphans who formed her into the Queen of Black Magic.",Horror,17+,6.8,531,Indonesian,Kimo Stamboel,"['Ario Bayu', 'Hannah Al Rashid', 'Adhisty Zara', 'Muzakki Ramdhan', 'Ari Irham', 'Ade Firman Hakim', 'Sheila Dara Aisha', 'Tanta Ginting', 'Miller Khan', 'Imelda Therinne', 'Salvita Decorte', 'Giulio Parengkuan', 'Shenina Cinnamon', 'Yayu A.W. Unru', 'Ruth Marini']",99,17,0.741014979,0.301207812,-0.083660768,-0.00638818,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
87,Rembulan Tenggelam di Wajahmu,https://m.media-amazon.com/images/M/MV5BMGZkNGQ1OWQtYjFkNi00NzY2LWE1OWMtMzQ1NWUxMWFiOWJlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"A lonely and rich man were sick in the hospital, and someone brings him back to the past to find an answers of his questions that he shouted to God, and finally get the answers one by one.",Drama,13+,5.9,12,Indonesian,Danial Rifki,"['Arifin Putra', 'Juan Bione Subiantoro', 'Donny Alamsyah', 'Anya Geraldine', 'Cornelio Sunny', 'Ariyo Wahab', 'Teuku Rizky Muhammad', 'Ari Irham', 'Allesandrio Reinhard Karamoy', 'Rigen Rakelna', 'Egy Fedly', 'Yudha Keling', nan, nan, nan]",93,13,-0.064632138,-0.368389646,-0.122016593,-0.417275928,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
88,Reva: Guna Guna,https://m.media-amazon.com/images/M/MV5BMzNhYjRkOWUtNTc2MC00NmU1LWI2YTgtYzMwZDM5MGQxZjAyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"Reva, a cheerful student, suddenly changes after her 21st birthday. Reva becomes moody and doesn't want to hang out. Then at her house, her mother and two younger siblings are killed ...",Horror,17+,4.9,9,Indonesian,Jose Poernomo,"['Angel Karamoy', 'Pamela Bowie', 'Wulan Guritno', 'Dewi Rezer', 'Ferry Salim', 'Marcellino Lafrand', 'Kitty Felicia', nan, nan, nan, nan, nan, nan, nan, nan]",80,17,0.741014979,-1.112386822,-0.122238303,-1.307532714,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
89,Roh Fasik,https://m.media-amazon.com/images/M/MV5BY2U3MTliZWMtZGI5NS00OTNlLWE1MzUtYzQ2Njk1NWUxOGZlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"Akbar loses his belief in religion and God after the death of Zahra, his wife, to the point that he even refuses to teach his religion's ways to their daughter Amira. He remarries, to a ...",Horror,17+,6.5,22,Indonesian,Ubay Fox,"['Evan Sanders', 'Irwansyah', 'Denira Wiraguna', 'Keinaya Meissi Gusti', 'Nagita Slavina', 'Zaskia Sungkar', 'Volland humonggio', 'Abi Cancer', 'Egy Fedly', 'Kanaya Gleadys', 'Ratu Dewi', nan, nan, nan, nan]",90,17,0.741014979,0.078008659,-0.12127756,-0.622719801,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
90,Roy Kiyoshi: The Untold Story,https://m.media-amazon.com/images/M/MV5BNGExYjkwNGUtNWYwMy00ODk2LTk3MzEtMGVmYjAyMTM4Y2UxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"Roy Kiyoshi, who has the ability to interact with supernatural beings, is very frustrated when his sister is kidnapped by the demon.",Horror,17+,2,61,Indonesian,Jose Poernomo,"['Roy Kiyoshi', 'Angel Karamoy', 'Olga Lydia', 'Clarice Cutie', 'Elina Joerg', 'Devina Sukmawati', 'Fikri Hadil', 'Shirin Nabilah', 'Rasyid Albuqhary', 'Reza Pramudya Rizky', nan, nan, nan, nan, nan]",86,17,0.741014979,-3.269978633,-0.11839533,-0.896644966,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
91,Rumah Kentang: The Beginning,https://m.media-amazon.com/images/M/MV5BZjRmZmI0OTYtYjkwYy00NWY0LWE3ZmItZGVjNjgzZWY3NzU1XkEyXkFqcGc@._V1_QL75_UX222_.jpg,2019,"A family went to the abandoned house in the middle of potato field. Adrian and Sofie are the novelist and wants find an inspiration, but a strange things happened when they lives in that house.",Drama,17+,5.1,37,Indonesian,Rizal Mantovani,"['Luna Maya', 'Christian Sugiono', 'Jajang C. Noer', 'Epy Kusnandar', 'Davina Karamoy', 'Nicole Rossi', 'Rayhan Cornellis', 'Oce Permatasari', nan, nan, nan, nan, nan, nan, nan]",102,17,0.741014979,-0.963587387,-0.12016901,0.199055694,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
92,Rumah Merah Putih,https://m.media-amazon.com/images/M/MV5BYzA4M2U5NzgtMjg2Yy00MGYxLTg0MGQtNjQxMzVhNzY1YjBlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"Farel, Oscar et al, who live on the NTT-Timor Leste border, join the areca climbing competition. But instead of being united, they argue which prizes should be taken first. They fail and ...",Drama,SU,7.8,13,Indonesian,Ari Sihasale,"['Petrick Rumlaklak', 'Amori de Purivicacao', 'Pevita Pearce', 'Yama Carlos', 'Shafira Umm', 'Abdurrahman Arif', 'Dicky Tatipikalawan', 'Antoni Do Rosario', 'Calvin Petrus', 'Dinda Maanana', 'Agnes Bau Mali', 'Gratia Manek', 'Nia Zulkarnaen', 'Unique Priscilla', nan]",96,0,-2.682985269,1.045204988,-0.12194269,-0.211832054,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
